10151475870412592_10052246	Unicorn! M gonna die.
167350099965063_1930469	come to Chicago :)
167350099965063_1930501	Come to LA!!
457575812591_3354660	so cute! :)
457575812591_3355054	so cute!!!
457575812591_3676515	nice
457575812591_5804781	i love it!!! zoo cutee
457575812591_8808669	Oh Santo Juliana Mucci dá pra fazer minions??? hehe
101321519939523_25845	I LOVE AGNES <333333
101321519939523_29533	Lol
117458298318978_454290	Done!
117458298318978_457044	Done!
456182422591_3342715	XD lufff
456182422591_3342920	so  cute
456182422591_3347771	gimme a MINION!!
144233898957249_1281076	nope....
173759472640595_2023476	Lol..yea, i did
138078786242155_1075800	minionnnzz!!!!!
138078786242155_1076053	Minions, no competition. 
138078786242155_1077548	Ummmmm movie idea ;-)
138078786242155_1077565	minionzzzzzzzz
450152232591_3267096	gotta have one!!
450152232591_3612700	so cut
450152232591_4767932	cooooooooolllllllllllllll
142596105787865_1226185	da commercial is so funny
142596105787865_1226856	A giraffe
142596105787865_1230217	MEEEEEEE!  so i can fit into a toy car and cannonball into JELLO!  :P
142596105787865_1236681	I'm a minion!
142596105787865_1238027	A giraffe so cute
160554780631514_1712648	no I dont to sad!
160554780631514_1712813	aw i love Miranda <3
160554780631514_1713005	no i dont n idc
123607997697722_676903	I love dispicable me I love it
147159051995930_1349285	i luv despiciable me hilario
122045594520642_594578	I never noticed
122045594520642_594894	nice
122045594520642_595866	amazing
114210861974159_363738	I <3 DM
155987431099682_1602961	no one cares michael
155987431099682_1603071	Hell Yea lol 
155987431099682_1603330	a minion.
155987431099682_1603508	Lol
155987431099682_1603650	Ooooooo snap.  Gotumzzz!!!! Lol 2 funny
155987431099682_1604356	No some ppl are scary
155987431099682_1604731	=]] so cute
440399612591_3141556	Sumtime in dec
440399612591_3141660	noi don't even ride roller coasters.
440399612591_3141971	hell no
440399612591_3141995	nope
440399612591_3142012	nope
440399612591_3142136	not all.
440399612591_3142240	nope.
440399612591_3142289	nope
440399612591_3142527	hell no!
440399612591_3142788	nope
440399612591_3143145	nope
440399612591_3144523	Si, seria super emocionante!
440399612591_3146884	i dont even ride rollar coasters :P
156239424397450_1575986	THE LORAX gimme my prize
156239424397450_1576278	I... fail.
128496593868975_777714	I LOVE AGNES!
128496593868975_777747	i love itttttttttttttttt!!!!!!!!!!!!
128496593868975_777854	My favorite scene
128496593868975_777937	I LOVE AGNES!
128496593868975_777959	it's so fluffy i'm gonna die!!!!!
128496593868975_778153	ITS SO FLUFFY!!!!!' ma favorite part!!;)
128496593868975_778162	Lol
128496593868975_779000	cotton candy!
128496593868975_779577	My favorite scene!
128496593868975_781782	it's so fluffy i'm gonna die
128496593868975_4704777	ma fav. scene!! :)
162485567099251_1695052	Lol
162485567099251_1695257	i minionssss
162485567099251_1695424	I <3 =))
162485567099251_1700572	i love minions
431532751375_13740972	YES!!, I'm gettin' my copy! :)
431532751375_13742017	wow,that wazs reallllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllly fast.....
431532751375_13742649	fantastic movie!!
152407381448276_1458656	Lol
152407381448276_1458747	Pizza truffles.
152407381448276_1462975	LOLOL - Love it
145645118808218_1295445	~so fluffy i'm going to die!
145645118808218_1295715	It's so fluffy I'm gonna die! LOL
145645118808218_1295762	its so fluffy I'm gonna die!
145645118808218_1295910	OMG so cute
145645118808218_1295921	Lol
145645118808218_1296056	minion: papoi, ten para tu! xD
145645118808218_1296099	it's so fluffy i'm gonna die =)
145645118808218_1297270	it's so fluffy i'm gonna die!
145645118808218_1306597	"its so fluffy i'm gonna die" ... "ITS SO FLUFFY!"
145645118808218_1309316	it so fluffy im gonna die!!!!!!!!!!!!!!!
145645118808218_1404529	Its so fluffy im gonna die!
150987528262115_1406151	its so fluffy im gonna die
420135297591_2830170	Unpredicatable!
420135297591_2830265	all
420135297591_2830608	its so FLUFFY i'm goin to die!!!!!
420135297591_2830707	cotton candy
420135297591_2831410	I <3 ed it all. :o)
420135297591_2831426	commode scene
420135297591_2831498	Coconutties....
420135297591_2832600	no i don't
420135297591_2833887	i love it all lol
420135297591_2838072	"Its so fluffy I'm gonna die" lol 
420135297591_2842992	senorito
420135297591_4023005	Mario Wii psch
420135297591_4559842	Lol
420135297591_6811094	Wii Motion + controller! :-P
